COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;JAN/2024;01/2024;37,86;37,86;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;JAN/2024;01/2024;3500,00;0,00;0,04%;0
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;JAN/2024;01/2024;221,22;0,00;0,00%;0
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903925;TAXA DE ADMINISTRACAO;JAN/2024;01/2024;3979,80;0,00;0,04%;0
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;JAN/2024;01/2024;12800,00;12166,33;0,14%;0,13%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;JAN/2024;01/2024;3000,00;1477,84;0,03%;0,02%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;JAN/2024;01/2024;620,22;620,22;0,01%;0,01%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903969;SEGUROS EM GERAL;JAN/2024;01/2024;980,00;0,00;0,01%;0
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;JAN/2024;01/2024;16995,04;1565,53;0,18%;0,02%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;JAN/2024;01/2024;146240,83;130828,58;1,54%;1,38%
339036;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;33903602;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;JAN/2024;01/2024;500,00;0,00;0,01%;0
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;JAN/2024;01/2024;6000,00;0,00;0,06%;0
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;FEV/2024;02/2024;41,65;41,65;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;FEV/2024;02/2024;9509,36;1170,08;0,10%;0,01%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;FEV/2024;02/2024;4800,00;4800,00;0,05%;0,05%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;FEV/2024;02/2024;8000,00;3421,54;0,08%;0,04%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;FEV/2024;02/2024;0,00;147,48;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;FEV/2024;02/2024;55000,00;0,00;0,58%;0
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;FEV/2024;02/2024;60900,00;25387,40;0,64%;0,27%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;FEV/2024;02/2024;4477,84;4483,81;0,05%;0,05%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;FEV/2024;02/2024;1500,07;633,60;0,02%;0,01%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;FEV/2024;02/2024;1602,41;15386,32;0,02%;0,16%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;FEV/2024;02/2024;132899,24;34094,07;1,40%;0,36%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;FEV/2024;02/2024;23969,24;0,00;0,25%;0
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;FEV/2024;02/2024;39300,80;0,00;0,41%;0
339030;MATERIAL DE CONSUMO;33903031;SEMENTES, MUDAS DE PLANTAS E INSUMOS;FEV/2024;02/2024;1435,80;0,00;0,02%;0
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;MAR/2024;03/2024;30,81;30,81;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904710;TAXAS;MAR/2024;03/2024;156,80;156,80;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;MAR/2024;03/2024;0,00;1585,04;0,00%;0,02%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;MAR/2024;03/2024;0,00;0,00;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;MAR/2024;03/2024;5000,55;7779,92;0,05%;0,08%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;MAR/2024;03/2024;121,00;0,00;0,00%;0
